>>> Training text translator configs...
d_model: 512
n_layers: 6
n_heads: 8
d_ff: 2048
max_len: 256
dropout: 0.1
batch_size: 128
epochs: 10
warmup: 100
init_lr: 1e-05
factor: 0.9
adam_eps: 5e-09
patience: 10
clip: 1.0
weight_decay: 0.0005
gpu_id: 0
src_mode: en
tgt_mode: de
data_path: ./data/multi30k/task1/raw/
>>> Loading the dataset...
>>> Loading the dataset... Done! <<<
>>> Building the transformer model...
>>> trainable parameters: 69384975 trainable parameters size: 264.682674407959 MB <<<
>>> Building the transformer model... Done! <<<
>>> Building the optimizer, scheduler and criterion...
>>> Building the optimizer, scheduler and criterion... Done! <<<
[Step: 40/227 | Batch Loss: 7.4205 | Batch Time: 0.08s | Elapsed Time: 3.71s | Estimated Remaining Time: 0h 0m 14s]
[Step: 41/227 | Batch Loss: 7.5027 | Batch Time: 0.08s | Elapsed Time: 3.79s | Estimated Remaining Time: 0h 0m 14s]
[Step: 42/227 | Batch Loss: 7.4574 | Batch Time: 0.08s | Elapsed Time: 3.87s | Estimated Remaining Time: 0h 0m 14s]
[Step: 43/227 | Batch Loss: 7.4134 | Batch Time: 0.08s | Elapsed Time: 3.95s | Estimated Remaining Time: 0h 0m 13s]
[Step: 44/227 | Batch Loss: 7.3262 | Batch Time: 0.08s | Elapsed Time: 4.04s | Estimated Remaining Time: 0h 0m 13s]
[Step: 45/227 | Batch Loss: 7.4670 | Batch Time: 0.07s | Elapsed Time: 4.11s | Estimated Remaining Time: 0h 0m 13s]
[Step: 46/227 | Batch Loss: 7.3756 | Batch Time: 0.08s | Elapsed Time: 4.19s | Estimated Remaining Time: 0h 0m 13s]
[Step: 47/227 | Batch Loss: 7.2978 | Batch Time: 0.08s | Elapsed Time: 4.28s | Estimated Remaining Time: 0h 0m 13s]
[Step: 48/227 | Batch Loss: 7.2555 | Batch Time: 0.08s | Elapsed Time: 4.36s | Estimated Remaining Time: 0h 0m 13s]
[Step: 49/227 | Batch Loss: 7.3266 | Batch Time: 0.08s | Elapsed Time: 4.44s | Estimated Remaining Time: 0h 0m 13s]
[Step: 50/227 | Batch Loss: 7.2437 | Batch Time: 0.08s | Elapsed Time: 4.52s | Estimated Remaining Time: 0h 0m 13s]
[Step: 51/227 | Batch Loss: 7.2028 | Batch Time: 0.08s | Elapsed Time: 4.61s | Estimated Remaining Time: 0h 0m 14s]
[Step: 52/227 | Batch Loss: 7.2849 | Batch Time: 0.08s | Elapsed Time: 4.69s | Estimated Remaining Time: 0h 0m 13s]
[Step: 53/227 | Batch Loss: 7.2315 | Batch Time: 0.08s | Elapsed Time: 4.77s | Estimated Remaining Time: 0h 0m 13s]
[Step: 54/227 | Batch Loss: 7.2586 | Batch Time: 0.08s | Elapsed Time: 4.86s | Estimated Remaining Time: 0h 0m 13s]
[Step: 55/227 | Batch Loss: 7.2118 | Batch Time: 0.08s | Elapsed Time: 4.95s | Estimated Remaining Time: 0h 0m 14s]
[Step: 56/227 | Batch Loss: 7.2133 | Batch Time: 0.09s | Elapsed Time: 5.04s | Estimated Remaining Time: 0h 0m 14s]
